id,order_no,gas,max_inlet_pressure,max_outlet_pressure,inlet_connection,outlet_connection,type_no_id
1,MR-0101,Oxygen,3000,250.0,CGA540,9/16''-18,1
2,MR-0101A,Acetylene,400,15.0,CGA510,9/16''-18LH,1
3,MR-0102,Oxygen,3000,250.0,CGA540,9/16''-18,2
4,MR-0101A,Acetylene,400,15.0,CGA510,9/16''-18LH,2
5,MR-0103,Oxygen,3000,250.0,CGA540,9/16''-18,3
6,MR-0103A,Acetylene,400,15.0,CGA510,9/16''-18LH,1
7,MR-0103B,Propane,400,125.0,CGA510,9/16''-18LH,1
8,MR-0104,Oxygen,3000,250.0,CGA540,9/16''-18,3
9,MR-0104A,Acetylene,400,15.0,CGA510,9/16''-18LH,1
10,MR-0104B,Propane,400,125.0,CGA510,9/16''-18LH,1
11,MR-0105,Oxygen,3000,250.0,CGA540,9/16''-18,4
12,MR-0105A,Acetylene,400,15.0,CGA510,9/16''-18LH,5
13,MR-0105B,Propane,400,125.0,Clamp,9/16''-18LH,5
14,MR-0101,Oxygen,3000,250.0,CGA540,9/16''-18,6
15,MR-0103A,Acetylene,400,15.0,CGA510,9/16''-18LH,7
16,MR-0107,Oxygen,3000,250.0,CGA540,9/16''-18,6
17,MR-0107A,Acetylene,400,15.0,CGA510,9/16''-18LH,7
18,MR-0107B,Propane,400,125.0,CGA510,9/16''-18LH,7
19,MR-0108,Oxygen,3000,250.0,CGA540,9/16''-18,8
20,MR-0108A,Acetylene,400,15.0,CGA200,9/16''-18LH,9
21,MR-0109,Oxygen,3000,200.0,CGA540,9/16''-18,5
22,MR-0109A,Acetylene,400,15.0,CGA510,9/16''-18LH,5
23,MR-0110,Oxygen,3000,250.0,CGA540,9/16''-18,10
24,MR-0110A,Acetylene,400,15.0,CGA510,9/16''-18LH,10
25,MR-0111,Oxygen,3000,250.0,CGA540,9/16''-18,10
26,MR-0111A,Acetylene,400,15.0,CGA510,9/16''-18LH,11
27,MR-0112,Oxygen,3000,250.0,CGA540,9/16''-18,12
28,MR-0112A,Acetylene,400,15.0,CGA510,9/16''-18LH,12
29,MR-0201,Oxygen,4000,145.0,G5/8'',BSP3/8'',13
30,MR-0201A,Acetylene,300,25.0,G5/8'',BSP3/8''-LH,13
31,MR-0202,Oxygen,4000,145.0,G5/8'',BSP3/8'',14
32,MR-0202A,Acetylene,300,25.0,G5/8'',BSP3/8''-LH,13
33,MR-0203,Oxygen,4000,145.0,G5/8'',BSP3/8'',15
34,MR-0203A,Acetylene,300,25.0,G5/8'',BSP3/8''-LH,15
35,MR-0204,Oxygen,4000,145.0,G5/8'',BSP3/8'',15
36,MR-0204A,Acetylene,300,25.0,G5/8'',BSP3/8''-LH,15
