id,goods_id,feature_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,2,1
10,2,2
11,2,3
12,2,9
13,2,10
14,2,11
15,2,12
16,3,1
17,3,2
18,3,3
19,3,4
20,3,5
21,3,6
22,3,7
23,3,8
24,4,1
25,4,2
26,4,3
27,4,9
28,4,10
29,4,11
30,4,12
31,5,1
32,5,2
33,5,3
34,5,4
35,5,5
36,5,6
37,5,7
38,5,8
39,6,1
40,6,2
41,6,3
42,6,9
43,6,10
44,6,11
45,6,12
46,7,1
47,7,2
48,7,3
49,7,9
50,7,10
51,7,11
52,7,12
53,8,1
54,8,2
55,8,3
56,8,4
57,8,5
58,8,6
59,8,7
60,8,8
61,9,1
62,9,2
63,9,3
64,9,9
65,9,10
66,9,11
67,9,12
68,10,1
69,10,2
70,10,3
71,10,9
72,10,10
73,10,11
74,10,12
75,11,1
76,11,2
77,11,3
78,11,4
79,11,5
80,11,6
81,11,7
82,11,8
83,12,1
84,12,2
85,12,3
86,12,9
87,12,10
88,12,11
89,12,12
90,13,1
91,13,2
92,13,3
93,13,9
94,13,10
95,13,11
96,13,12
97,14,1
98,14,2
99,14,3
100,14,4
101,14,5
102,14,6
103,14,7
104,14,8
105,15,1
106,15,2
107,15,3
108,15,9
109,15,10
110,15,11
111,15,12
112,16,1
113,16,2
114,16,3
115,16,4
116,16,5
117,16,6
118,16,7
119,16,8
120,17,1
121,17,2
122,17,3
123,17,9
124,17,10
125,17,11
126,17,12
127,18,1
128,18,2
129,18,3
130,18,9
131,18,10
132,18,11
133,18,12
134,19,1
135,19,2
136,19,3
137,19,4
138,19,5
139,19,6
140,19,7
141,19,8
142,20,1
143,20,2
144,20,3
145,20,9
146,20,10
147,20,11
148,20,12
149,21,1
150,21,2
151,21,3
152,21,4
153,21,5
154,21,6
155,21,7
156,21,8
157,22,1
158,22,2
159,22,3
160,22,9
161,22,10
162,22,11
163,22,12
164,23,1
165,23,13
166,23,3
